dataset,backbone,method,seed,k,catalog_size,n_users,coverage,gini,nalrp,recall
Amazon-VG,SimGCL,STFR,21,20,14189,2555,0.134470364366763,0.9794194615354168,0.6916752649280947,0.1123720759613562
Amazon-VG,SimGCL,STFR,22,20,14189,2555,0.1322855733314539,0.9793639928618114,0.689896919254636,0.1152552815793955
Amazon-VG,SimGCL,TIDE,20,20,14189,2555,0.0036648107689054,0.998552648002318,0.7170497337989165,0.0832388922403856
Amazon-VG,SimGCL,TIDE,21,20,14189,2555,0.0041581506801043,0.9985210753513616,0.721776058939858,0.0858764221381895
Amazon-VG,SimGCL,TIDE,22,20,14189,2555,0.004369582070618,0.9985167143203322,0.7183133438365397,0.0849305643430167
Amazon-VG,SimGCL,base,20,20,14189,2555,0.2215096201282684,0.9394409880921234,0.7215211789196672,0.0728051682745262
Amazon-VG,SimGCL,base,21,20,14189,2555,0.2198886461343294,0.9400147767509326,0.7223900061941613,0.0762322317524703
Amazon-VG,SimGCL,base,22,20,14189,2555,0.2234125026428924,0.9381468238605496,0.7192678345719873,0.0753829336272426
Douban-movie,LightGCN,CausalEPP,20,20,23425,10947,0.0106296691568836,0.9983674377925892,0.917846981814265,0.0325842241624572
Douban-movie,LightGCN,CausalEPP,21,20,23425,10947,0.0098185699039487,0.9983221336449932,0.9170695732138168,0.0317228818306299
Douban-movie,LightGCN,CausalEPP,22,20,23425,10947,0.0108858057630736,0.9983626345975306,0.9176428196714814,0.0320988851315797
Douban-movie,LightGCN,DDC,20,20,23425,10947,0.0273639274279615,0.9973677898332112,0.91287345372407,0.0223249217413436
Douban-movie,LightGCN,DDC,21,20,23425,10947,0.0286019210245464,0.9973551354790944,0.9128546494310548,0.0230183652827853
Douban-movie,LightGCN,DDC,22,20,23425,10947,0.0267235859124866,0.9975268997154136,0.9141146535934278,0.0215888855238641
Douban-movie,LightGCN,DICE,20,20,23425,10947,0.3505656350053361,0.8920716016954774,0.6816228741965445,0.0264423903635564
Douban-movie,LightGCN,DICE,21,20,23425,10947,0.3494130202774813,0.8937257683113459,0.682386668862263,0.0274712897942287
Douban-movie,LightGCN,DICE,22,20,23425,10947,0.1952614727854855,0.9416050804265012,0.7171707492255416,0.0295945797460601
Douban-movie,LightGCN,IPS,20,20,23425,10947,0.1218356456776947,0.986219671320224,0.8579058406681116,0.0341992510248293
Douban-movie,LightGCN,IPS,21,20,23425,10947,0.351718249733191,0.9520267618936236,0.8036482478663459,0.0337170343421116
Douban-movie,LightGCN,IPS,22,20,23425,10947,0.4776947705442902,0.921339982231259,0.7752183914120035,0.0316209874502777
Douban-movie,LightGCN,PDA,20,20,23425,10947,0.0083244397011739,0.998540082959138,0.8994535411531456,0.0568117206591006
Douban-movie,LightGCN,PDA,21,20,23425,10947,0.0096478121664887,0.99855783805137,0.9004663029862097,0.0570099417996502
Douban-movie,LightGCN,PDA,22,20,23425,10947,0.0087513340448239,0.9985537539511954,0.900049810919962,0.0567880124741565
Douban-movie,LightGCN,STFR,20,20,23425,10947,0.0169050160085378,0.9982972753459742,0.6951354815432242,0.1201799814286094
Douban-movie,LightGCN,STFR,21,20,23425,10947,0.0174599786552828,0.9982843979320564,0.7032266377741069,0.1206336729086017
Douban-movie,LightGCN,STFR,22,20,23425,10947,0.0168196371398078,0.99826487473993,0.6979263982451771,0.1191933724332095
Douban-movie,LightGCN,TIDE,20,20,23425,10947,0.007769477054429,0.998778961288108,0.8379889949774133,0.0783905206163676
Douban-movie,LightGCN,TIDE,21,20,23425,10947,0.0055923159018143,0.998840370977307,0.8195837490548765,0.0795334669650486
Douban-movie,LightGCN,TIDE,22,20,23425,10947,0.0067022411953041,0.9987764066294388,0.8401098503208175,0.0779591944089065
Douban-movie,LightGCN,base,20,20,23425,10947,0.0208324439701173,0.9977867253875492,0.9134102525673355,0.0221651255192015
Douban-movie,LightGCN,base,21,20,23425,10947,0.0201921024546424,0.997799448375451,0.9134040396370168,0.0224939766004587
Douban-movie,LightGCN,base,22,20,23425,10947,0.0204482390608324,0.9977594099210332,0.9120147240968663,0.0219710739565959
Douban-movie,MF,CausalEPP,20,20,23425,10947,0.336136606189968,0.944835211549506,0.7961117131031858,0.0307059484442704
Douban-movie,MF,CausalEPP,21,20,23425,10947,0.2925506937033084,0.9563242357496424,0.8096064729084503,0.0331578711202563
Douban-movie,MF,CausalEPP,22,20,23425,10947,0.3244397011739594,0.9477607870813278,0.7999292230535715,0.0315225977317918
Douban-movie,MF,DDC,20,20,23425,10947,0.3927427961579509,0.9379774812941252,0.7922263438159997,0.0324247996479285
Douban-movie,MF,DDC,21,20,23425,10947,0.3810458911419423,0.9416115177630378,0.7969193662081362,0.0341837408080229
Douban-movie,MF,DDC,22,20,23425,10947,0.3708431163287086,0.9459851862164252,0.8030050341549331,0.0321737709413183
Douban-movie,MF,DICE,20,20,23425,10947,0.2646318036286019,0.9136893149383092,0.6803677199830889,0.0246051970836251
Douban-movie,MF,DICE,21,20,23425,10947,0.2070010672358591,0.9344342578518658,0.6998598065590018,0.0250175692004971
Douban-movie,MF,DICE,22,20,23425,10947,0.2686446104589114,0.9127050565453672,0.6810190742472023,0.0223536191535009
Douban-movie,MF,IPS,20,20,23425,10947,0.5943223052294557,0.8786527925030069,0.7387791663141635,0.02953400207178
Douban-movie,MF,IPS,21,20,23425,10947,0.3981643543223052,0.9444688674128836,0.7994543974931203,0.0285479071379147
Douban-movie,MF,IPS,22,20,23425,10947,0.4982283884738527,0.9186717229488076,0.7737398207181987,0.0311685894825401
Douban-movie,MF,PDA,20,20,23425,10947,0.1057844183564567,0.9935092873502572,0.7442882808736565,0.1084134187462246
Douban-movie,MF,PDA,21,20,23425,10947,0.1318676627534685,0.9912191230103636,0.7409359545236083,0.1033337468559445
Douban-movie,MF,PDA,22,20,23425,10947,0.1138954108858057,0.992968949549196,0.7408582363185122,0.1037989528582014
Douban-movie,MF,STFR,20,20,23425,10947,0.1313127001067235,0.989789391966084,0.7055490536226452,0.1136792942051503
Douban-movie,MF,STFR,21,20,23425,10947,0.1290074706510138,0.9901612548829672,0.7104071882150793,0.1093834810445661
Douban-movie,MF,STFR,22,20,23425,10947,0.1360939167556029,0.989511451654274,0.709515935645481,0.1039207983275157
Douban-movie,MF,TIDE,20,20,23425,10947,0.1369903948772678,0.9932446748615796,0.7070644904129152,0.1160632875286901
Douban-movie,MF,TIDE,21,20,23425,10947,0.1728495197438634,0.9909504412401696,0.7134143636532861,0.1117207080597502
Douban-movie,MF,TIDE,22,20,23425,10947,0.1539381003201707,0.992189606680641,0.7092032943032316,0.1153420769051374
Douban-movie,MF,base,20,20,23425,10947,0.3626040554962647,0.9413823027590296,0.7958934527746948,0.0330036241802599
Douban-movie,MF,base,21,20,23425,10947,0.3559871931696905,0.9436865487237966,0.798250675195488,0.0338028913611161
Douban-movie,MF,base,22,20,23425,10947,0.3382283884738527,0.9491304444554284,0.8049523568354707,0.0316602139286843
