dataset,backbone,method,seed,nalrp20,log
Amazon-Movies,SimGCL,DICE,22,0.67202,log/runs/v3_Amazon-Movies_SimGCL_final_DICE_DICE_a0.05_s22_test_k20_train.log
Amazon-Movies,SimGCL,IPS,20,0.75664,log/runs/v3_Amazon-Movies_SimGCL_final_IPS_IPS_l10_s20_test_k20_train.log
Amazon-Movies,SimGCL,IPS,21,0.75887,log/runs/v3_Amazon-Movies_SimGCL_final_IPS_IPS_l10_s21_test_k20_train.log
Amazon-Movies,SimGCL,IPS,22,0.75699,log/runs/v3_Amazon-Movies_SimGCL_final_IPS_IPS_l10_s22_test_k20_train.log
Amazon-Movies,SimGCL,PDA,20,0.81197,log/runs/v3_Amazon-Movies_SimGCL_final_PDA_g0.25a0.2_s20_test_k20_train.log
Amazon-Movies,SimGCL,PDA,21,0.8111,log/runs/v3_Amazon-Movies_SimGCL_final_PDA_g0.25a0.2_s21_test_k20_train.log
Amazon-Movies,SimGCL,PDA,22,0.81044,log/runs/v3_Amazon-Movies_SimGCL_final_PDA_g0.25a0.2_s22_test_k20_train.log
Amazon-Movies,SimGCL,STFR,20,0.73905,log/runs/v3nob_final_Amazon-Movies_SimGCL_SFDmmNoB_f0.5a0.5_s20_test_k20.log
Amazon-Movies,SimGCL,STFR,21,0.73809,log/runs/v3nob_final_Amazon-Movies_SimGCL_SFDmmNoB_f0.5a0.5_s21_test_k20.log
Amazon-Movies,SimGCL,STFR,22,0.73681,log/runs/v3nob_final_Amazon-Movies_SimGCL_SFDmmNoB_f0.5a0.5_s22_test_k20.log
Amazon-Movies,SimGCL,TIDE,20,0.77691,log/runs/v3_Amazon-Movies_SimGCL_final_TIDE_TIDE_q-1b-5_tau3000000_s20_test_k20_train.log
Amazon-Movies,SimGCL,TIDE,21,0.77278,log/runs/v3_Amazon-Movies_SimGCL_final_TIDE_TIDE_q-1b-5_tau3000000_s21_test_k20_train.log
Amazon-Movies,SimGCL,TIDE,22,0.77424,log/runs/v3_Amazon-Movies_SimGCL_final_TIDE_TIDE_q-1b-5_tau3000000_s22_test_k20_train.log
Amazon-Movies,SimGCL,base,20,0.77,log/runs/v3_Amazon-Movies_SimGCL_base_s20_test_k20_train.log
Amazon-Movies,SimGCL,base,21,0.77033,log/runs/v3_Amazon-Movies_SimGCL_base_s21_test_k20_train.log
Amazon-Movies,SimGCL,base,22,0.77031,log/runs/v3_Amazon-Movies_SimGCL_base_s22_test_k20_train.log
Amazon-VG,LightGCN,CausalEPP,20,0.79719,log/runs/v3_Amazon-VG_LightGCN_final_CausalEPP_CEPP_sm256a1.0_s20_test_k20_train.log
Amazon-VG,LightGCN,CausalEPP,21,0.79344,log/runs/v3_Amazon-VG_LightGCN_final_CausalEPP_CEPP_sm256a1.0_s21_test_k20_train.log
Amazon-VG,LightGCN,CausalEPP,22,0.79443,log/runs/v3_Amazon-VG_LightGCN_final_CausalEPP_CEPP_sm256a1.0_s22_test_k20_train.log
Amazon-VG,LightGCN,DDC,20,0.75964,log/runs/v3_Amazon-VG_LightGCN_final_DDC_DDC_k0.7_s20_test_k20_train.log
Amazon-VG,LightGCN,DDC,21,0.76479,log/runs/v3_Amazon-VG_LightGCN_final_DDC_DDC_k0.7_s21_test_k20_train.log
Amazon-VG,LightGCN,DDC,22,0.77173,log/runs/v3_Amazon-VG_LightGCN_final_DDC_DDC_k0.7_s22_test_k20_train.log
Amazon-VG,LightGCN,DICE,20,0.61165,log/runs/v3_Amazon-VG_LightGCN_final_DICE_DICE_a0.05_s20_test_k20_train.log
Amazon-VG,LightGCN,DICE,21,0.67341,log/runs/v3_Amazon-VG_LightGCN_final_DICE_DICE_a0.05_s21_test_k20_train.log
Amazon-VG,LightGCN,DICE,22,0.67114,log/runs/v3_Amazon-VG_LightGCN_final_DICE_DICE_a0.05_s22_test_k20_train.log
Amazon-VG,LightGCN,IPS,20,0.69158,log/runs/v3_Amazon-VG_LightGCN_final_IPS_IPS_l50_s20_test_k20_train.log
Amazon-VG,LightGCN,IPS,21,0.67808,log/runs/v3_Amazon-VG_LightGCN_final_IPS_IPS_l50_s21_test_k20_train.log
Amazon-VG,LightGCN,IPS,22,0.74497,log/runs/v3_Amazon-VG_LightGCN_final_IPS_IPS_l50_s22_test_k20_train.log
