dataset,backbone,method,seed,recall20,ndcg20,log
Douban-movie,MF,DDC,22,0.03217,0.02591,log/runs/v3_Douban-movie_MF_final_DDC_DDC_k0.7_s22_test_k20_train.log
Douban-movie,MF,PDA,20,0.10841,0.07289,log/runs/v3_Douban-movie_MF_final_PDA_g0.1a0.2_s20_test_k20_train.log
Douban-movie,MF,PDA,21,0.10333,0.07251,log/runs/v3_Douban-movie_MF_final_PDA_g0.1a0.2_s21_test_k20_train.log
Douban-movie,MF,PDA,22,0.1038,0.07249,log/runs/v3_Douban-movie_MF_final_PDA_g0.1a0.2_s22_test_k20_train.log
Douban-movie,MF,TIDE,20,0.11606,0.07769,log/runs/v3_Douban-movie_MF_final_TIDE_TIDE_qdefaultbdefault_tau10000000_s20_test_k20_train.log
Douban-movie,MF,TIDE,21,0.11172,0.07798,log/runs/v3_Douban-movie_MF_final_TIDE_TIDE_qdefaultbdefault_tau10000000_s21_test_k20_train.log
Douban-movie,MF,TIDE,22,0.11534,0.07688,log/runs/v3_Douban-movie_MF_final_TIDE_TIDE_qdefaultbdefault_tau10000000_s22_test_k20_train.log
Douban-movie,MF,CausalEPP,20,0.03071,0.0249,log/runs/v3_Douban-movie_MF_final_CausalEPP_CEPP_sm256a1.0_s20_test_k20_train.log
Douban-movie,MF,CausalEPP,21,0.03316,0.02624,log/runs/v3_Douban-movie_MF_final_CausalEPP_CEPP_sm256a1.0_s21_test_k20_train.log
Douban-movie,MF,CausalEPP,22,0.03152,0.02567,log/runs/v3_Douban-movie_MF_final_CausalEPP_CEPP_sm256a1.0_s22_test_k20_train.log
Douban-movie,MF,STFR,20,0.11368,0.0739,log/runs/v3nob_final_Douban-movie_MF_SFDmmNoB_f0.9a0.5_s20_test_k20.log
Douban-movie,MF,STFR,21,0.10938,0.0742,log/runs/v3nob_final_Douban-movie_MF_SFDmmNoB_f0.9a0.5_s21_test_k20.log
Douban-movie,MF,STFR,22,0.10392,0.07179,log/runs/v3nob_final_Douban-movie_MF_SFDmmNoB_f0.9a0.5_s22_test_k20.log
Amazon-VG,LightGCN,base,20,0.06852,0.03108,log/runs/v3_Amazon-VG_LightGCN_base_s20_test_k20_train.log
