dataset,backbone,arm,N,k,seed,recall,precision,ndcg,arp,aplt,val_recall20,best_epoch,tag
Amazon-VG,SimGCL,recent,6,20,22,0.06197,0.0056,0.03016,0.57897,0.31084,0.08169,12,v3nobREC_Amazon-VG_SimGCL_recentN6_s22
Amazon-VG,SimGCL,recent,12,20,20,0.07438,0.00714,0.03553,0.64791,0.16272,0.0936,21,v3nobREC_Amazon-VG_SimGCL_recentN12_s20
Amazon-VG,SimGCL,recent,12,20,21,0.07293,0.00697,0.03555,0.6538,0.15523,0.09492,9,v3nobREC_Amazon-VG_SimGCL_recentN12_s21
Amazon-VG,SimGCL,recent,12,20,22,0.07121,0.00703,0.03443,0.65855,0.15102,0.0934,6,v3nobREC_Amazon-VG_SimGCL_recentN12_s22
Amazon-VG,SimGCL,recent,24,20,20,0.07611,0.00775,0.03623,0.68546,0.08828,0.09306,18,v3nobREC_Amazon-VG_SimGCL_recentN24_s20
Amazon-VG,SimGCL,recent,24,20,21,0.07464,0.00773,0.03567,0.68664,0.0874,0.09365,24,v3nobREC_Amazon-VG_SimGCL_recentN24_s21
Amazon-VG,SimGCL,recent,24,20,22,0.0761,0.00785,0.036,0.68822,0.0846,0.09146,12,v3nobREC_Amazon-VG_SimGCL_recentN24_s22
Amazon-VG,SimGCL,recent+F,1,20,20,0.07785,0.00638,0.038,0.67032,0.06268,0.09887,6,v3nobREC_Amazon-VG_SimGCL_recentFN1_s20
Amazon-VG,SimGCL,recent+F,1,20,21,0.0778,0.00628,0.03698,0.67346,0.05147,0.09877,3,v3nobREC_Amazon-VG_SimGCL_recentFN1_s21
Amazon-VG,SimGCL,recent+F,1,20,22,0.07902,0.0064,0.03852,0.67357,0.05249,0.09473,3,v3nobREC_Amazon-VG_SimGCL_recentFN1_s22
Amazon-VG,SimGCL,recent+F,2,20,20,0.08941,0.00771,0.0455,0.6718,0.05836,0.10832,24,v3nobREC_Amazon-VG_SimGCL_recentFN2_s20
Amazon-VG,SimGCL,recent+F,2,20,21,0.08925,0.00757,0.04387,0.6788,0.05495,0.1056,3,v3nobREC_Amazon-VG_SimGCL_recentFN2_s21
Amazon-VG,SimGCL,recent+F,2,20,22,0.09062,0.00744,0.04501,0.67825,0.05476,0.10263,3,v3nobREC_Amazon-VG_SimGCL_recentFN2_s22
Amazon-VG,SimGCL,recent+F,3,20,20,0.09169,0.00771,0.04589,0.6804,0.05166,0.10644,12,v3nobREC_Amazon-VG_SimGCL_recentFN3_s20
Amazon-VG,SimGCL,recent+F,3,20,21,0.09386,0.00793,0.04572,0.67162,0.05321,0.10712,12,v3nobREC_Amazon-VG_SimGCL_recentFN3_s21
Amazon-VG,SimGCL,recent+F,3,20,22,0.09352,0.00795,0.0471,0.68807,0.0435,0.10697,3,v3nobREC_Amazon-VG_SimGCL_recentFN3_s22
Amazon-VG,SimGCL,recent+F,6,20,20,0.1016,0.00877,0.04465,0.69025,0.02885,0.11686,15,v3nobREC_Amazon-VG_SimGCL_recentFN6_s20
Amazon-VG,SimGCL,recent+F,6,20,21,0.10266,0.00881,0.04966,0.68625,0.02513,0.11671,21,v3nobREC_Amazon-VG_SimGCL_recentFN6_s21
Amazon-VG,SimGCL,recent+F,6,20,22,0.10558,0.00898,0.04718,0.68343,0.02102,0.11743,27,v3nobREC_Amazon-VG_SimGCL_recentFN6_s22
Amazon-VG,SimGCL,recent+F,12,20,20,0.11119,0.00975,0.05197,0.70498,0.01626,0.121,12,v3nobREC_Amazon-VG_SimGCL_recentFN12_s20
Amazon-VG,SimGCL,recent+F,12,20,21,0.10832,0.00949,0.05188,0.70602,0.01511,0.12748,12,v3nobREC_Amazon-VG_SimGCL_recentFN12_s21
Amazon-VG,SimGCL,recent+F,12,20,22,0.10743,0.00933,0.04995,0.70566,0.01613,0.12221,12,v3nobREC_Amazon-VG_SimGCL_recentFN12_s22
Amazon-VG,SimGCL,recent+F,24,20,20,0.10677,0.00965,0.05185,0.71687,0.01137,0.12525,9,v3nobREC_Amazon-VG_SimGCL_recentFN24_s20
Amazon-VG,SimGCL,recent+F,24,20,21,0.10867,0.00973,0.05244,0.71927,0.01076,0.12331,9,v3nobREC_Amazon-VG_SimGCL_recentFN24_s21
Amazon-VG,SimGCL,recent+F,24,20,22,0.10352,0.00945,0.04919,0.7155,0.01012,0.12361,9,v3nobREC_Amazon-VG_SimGCL_recentFN24_s22
Amazon-VG,SimGCL,F-only (N=전체),all,20,20,0.10199,0.00941,0.04891,0.7349,0.00646,0.12557,6,v3nobABL_Amazon-VG_SimGCL_Fonly_s20
Amazon-VG,SimGCL,F-only (N=전체),all,20,21,0.11451,0.01022,0.05364,0.73173,0.00716,0.12402,6,v3nobABL_Amazon-VG_SimGCL_Fonly_s21
Amazon-VG,SimGCL,F-only (N=전체),all,20,22,0.10467,0.00916,0.05097,0.72122,0.00448,0.11852,9,v3nobABL_Amazon-VG_SimGCL_Fonly_s22
Amazon-VG,SimGCL,SFD-noB champion,all,20,20,0.11249,0.01006,0.05259,0.69176,0.01632,0.13328,6,v3nob_final_Amazon-VG_SimGCL_SFDmmNoB_f0.7a0.75_s20
Amazon-VG,SimGCL,SFD-noB champion,all,20,21,0.11237,0.00996,0.05381,0.69168,0.01599,0.12914,6,v3nob_final_Amazon-VG_SimGCL_SFDmmNoB_f0.7a0.75_s21
Amazon-VG,SimGCL,SFD-noB champion,all,20,22,0.11526,0.01014,0.05519,0.6899,0.01569,0.12636,6,v3nob_final_Amazon-VG_SimGCL_SFDmmNoB_f0.7a0.75_s22
Amazon-VG,SimGCL,base (N=전체),all,20,20,0.07281,0.00787,0.03513,0.72152,0.03669,0.09879,18,v3_Amazon-VG_SimGCL_base_s20
Amazon-VG,SimGCL,base (N=전체),all,20,21,0.07623,0.00804,0.03735,0.72239,0.0363,0.09864,15,v3_Amazon-VG_SimGCL_base_s21
Amazon-VG,SimGCL,base (N=전체),all,20,22,0.07538,0.008,0.03585,0.71927,0.03832,0.09897,48,v3_Amazon-VG_SimGCL_base_s22
