dataset,backbone,f,alpha,sweep_best_epoch,sweep_val_recall20,reeval_fullval_recall20,log,selection_metric,selected
Amazon-Movies,LightGCN,0.9,0.75,27,0.12242,,log/runs/v3nob_sweep_Amazon-Movies_LightGCN_SFDmmNoB_f0.9a0.75_train.log,0.12242,False
Amazon-Movies,LightGCN,0.9,1.0,9,0.11158,,log/runs/v3nob_sweep_Amazon-Movies_LightGCN_SFDmmNoB_f0.9a1.0_train.log,0.11158,False
Amazon-Movies,SimGCL,0.3,0.5,24,0.11469,,log/runs/v3nob_sweep_Amazon-Movies_SimGCL_SFDmmNoB_f0.3a0.5_train.log,0.11469,False
Amazon-Movies,SimGCL,0.3,0.75,21,0.11501,,log/runs/v3nob_sweep_Amazon-Movies_SimGCL_SFDmmNoB_f0.3a0.75_train.log,0.11501,False
Amazon-Movies,SimGCL,0.3,1.0,3,0.11177,,log/runs/v3nob_sweep_Amazon-Movies_SimGCL_SFDmmNoB_f0.3a1.0_train.log,0.11177,False
Amazon-Movies,SimGCL,0.5,0.5,12,0.11869,,log/runs/v3nob_sweep_Amazon-Movies_SimGCL_SFDmmNoB_f0.5a0.5_train.log,0.11869,True
Amazon-Movies,SimGCL,0.5,0.75,15,0.11143,,log/runs/v3nob_sweep_Amazon-Movies_SimGCL_SFDmmNoB_f0.5a0.75_train.log,0.11143,False
Amazon-Movies,SimGCL,0.5,1.0,3,0.10478,,log/runs/v3nob_sweep_Amazon-Movies_SimGCL_SFDmmNoB_f0.5a1.0_train.log,0.10478,False
Amazon-Movies,SimGCL,0.7,0.5,12,0.11684,,log/runs/v3nob_sweep_Amazon-Movies_SimGCL_SFDmmNoB_f0.7a0.5_train.log,0.11684,False
Amazon-Movies,SimGCL,0.7,0.75,6,0.10607,,log/runs/v3nob_sweep_Amazon-Movies_SimGCL_SFDmmNoB_f0.7a0.75_train.log,0.10607,False
Amazon-Movies,SimGCL,0.7,1.0,3,0.10512,,log/runs/v3nob_sweep_Amazon-Movies_SimGCL_SFDmmNoB_f0.7a1.0_train.log,0.10512,False
Amazon-Movies,SimGCL,0.9,0.5,18,0.11463,,log/runs/v3nob_sweep_Amazon-Movies_SimGCL_SFDmmNoB_f0.9a0.5_train.log,0.11463,False
Amazon-Movies,SimGCL,0.9,0.75,3,0.10748,,log/runs/v3nob_sweep_Amazon-Movies_SimGCL_SFDmmNoB_f0.9a0.75_train.log,0.10748,False
Amazon-Movies,SimGCL,0.9,1.0,0,0.10146,,log/runs/v3nob_sweep_Amazon-Movies_SimGCL_SFDmmNoB_f0.9a1.0_train.log,0.10146,False
Douban-movie,MF,0.3,0.5,6,0.14804,0.14837,log/runs/v3nob_sweep_Douban-movie_MF_SFDmmNoB_f0.3a0.5_train.log,0.14837,False
Douban-movie,MF,0.3,0.75,6,0.15256,0.15281,log/runs/v3nob_sweep_Douban-movie_MF_SFDmmNoB_f0.3a0.75_train.log,0.15281,False
Douban-movie,MF,0.3,1.0,3,0.15874,0.15863,log/runs/v3nob_sweep_Douban-movie_MF_SFDmmNoB_f0.3a1.0_train.log,0.15863,False
Douban-movie,MF,0.5,0.5,6,0.1514,0.15392,log/runs/v3nob_sweep_Douban-movie_MF_SFDmmNoB_f0.5a0.5_train.log,0.15392,False
Douban-movie,MF,0.5,0.75,6,0.14855,0.15006,log/runs/v3nob_sweep_Douban-movie_MF_SFDmmNoB_f0.5a0.75_train.log,0.15006,False
Douban-movie,MF,0.5,1.0,0,0.14992,0.15094,log/runs/v3nob_sweep_Douban-movie_MF_SFDmmNoB_f0.5a1.0_train.log,0.15094,False
Douban-movie,MF,0.7,0.5,3,0.14832,0.14999,log/runs/v3nob_sweep_Douban-movie_MF_SFDmmNoB_f0.7a0.5_train.log,0.14999,False
Douban-movie,MF,0.7,0.75,3,0.15331,0.15318,log/runs/v3nob_sweep_Douban-movie_MF_SFDmmNoB_f0.7a0.75_train.log,0.15318,False
Douban-movie,MF,0.7,1.0,3,0.14969,0.15054,log/runs/v3nob_sweep_Douban-movie_MF_SFDmmNoB_f0.7a1.0_train.log,0.15054,False
Douban-movie,MF,0.9,0.5,3,0.16027,0.16124,log/runs/v3nob_sweep_Douban-movie_MF_SFDmmNoB_f0.9a0.5_train.log,0.16124,True
Douban-movie,MF,0.9,0.75,3,0.14657,0.14969,log/runs/v3nob_sweep_Douban-movie_MF_SFDmmNoB_f0.9a0.75_train.log,0.14969,False
Douban-movie,MF,0.9,1.0,0,0.15291,0.15495,log/runs/v3nob_sweep_Douban-movie_MF_SFDmmNoB_f0.9a1.0_train.log,0.15495,False
Douban-movie,LightGCN,0.3,0.5,18,0.15967,0.16134,log/runs/v3nob_sweep_Douban-movie_LightGCN_SFDmmNoB_f0.3a0.5_train.log,0.16134,False
Douban-movie,LightGCN,0.3,0.75,6,0.17757,0.17835,log/runs/v3nob_sweep_Douban-movie_LightGCN_SFDmmNoB_f0.3a0.75_train.log,0.17835,True
Douban-movie,LightGCN,0.3,1.0,9,0.17296,0.17415,log/runs/v3nob_sweep_Douban-movie_LightGCN_SFDmmNoB_f0.3a1.0_train.log,0.17415,False
Douban-movie,LightGCN,0.5,0.5,21,0.17882,0.17816,log/runs/v3nob_sweep_Douban-movie_LightGCN_SFDmmNoB_f0.5a0.5_train.log,0.17816,False
Douban-movie,LightGCN,0.5,0.75,12,0.1748,0.17421,log/runs/v3nob_sweep_Douban-movie_LightGCN_SFDmmNoB_f0.5a0.75_train.log,0.17421,False
Douban-movie,LightGCN,0.5,1.0,0,0.16336,0.16272,log/runs/v3nob_sweep_Douban-movie_LightGCN_SFDmmNoB_f0.5a1.0_train.log,0.16272,False
Douban-movie,LightGCN,0.7,0.5,21,0.17588,0.17637,log/runs/v3nob_sweep_Douban-movie_LightGCN_SFDmmNoB_f0.7a0.5_train.log,0.17637,False
Douban-movie,LightGCN,0.7,0.75,21,0.17807,0.17801,log/runs/v3nob_sweep_Douban-movie_LightGCN_SFDmmNoB_f0.7a0.75_train.log,0.17801,False
Douban-movie,LightGCN,0.7,1.0,18,0.166,0.16637,log/runs/v3nob_sweep_Douban-movie_LightGCN_SFDmmNoB_f0.7a1.0_train.log,0.16637,False
Douban-movie,LightGCN,0.9,0.5,18,0.17148,0.16969,log/runs/v3nob_sweep_Douban-movie_LightGCN_SFDmmNoB_f0.9a0.5_train.log,0.16969,False
Douban-movie,LightGCN,0.9,0.75,0,0.153,0.1551,log/runs/v3nob_sweep_Douban-movie_LightGCN_SFDmmNoB_f0.9a0.75_train.log,0.1551,False
Douban-movie,LightGCN,0.9,1.0,0,0.16616,0.16688,log/runs/v3nob_sweep_Douban-movie_LightGCN_SFDmmNoB_f0.9a1.0_train.log,0.16688,False
